Drug;Type;Reaction
NUCYNTA;ADVERSE REACTIONS;Abdominal discomfort
NUCYNTA;ADVERSE REACTIONS;Abnormal dreams
NUCYNTA;ADVERSE REACTIONS;Agitation
NUCYNTA;ADVERSE REACTIONS;Alanine aminotransferase increased
NUCYNTA;ADVERSE REACTIONS;Alcohol interaction
NUCYNTA;ADVERSE REACTIONS;Anaphylactic reaction
NUCYNTA;ADVERSE REACTIONS;Anaphylactic shock
NUCYNTA;ADVERSE REACTIONS;Angioedema
NUCYNTA;ADVERSE REACTIONS;Anxiety
NUCYNTA;ADVERSE REACTIONS;Aspartate aminotransferase increased
NUCYNTA;ADVERSE REACTIONS;Ataxia
NUCYNTA;ADVERSE REACTIONS;Blood pressure decreased
NUCYNTA;ADVERSE REACTIONS;Chronic respiratory disease
NUCYNTA;ADVERSE REACTIONS;Confusional state
NUCYNTA;ADVERSE REACTIONS;Constipation
NUCYNTA;ADVERSE REACTIONS;Coordination abnormal
NUCYNTA;ADVERSE REACTIONS;Cough
NUCYNTA;ADVERSE REACTIONS;Decreased appetite
NUCYNTA;ADVERSE REACTIONS;Depressed level of consciousness
NUCYNTA;ADVERSE REACTIONS;Diarrhoea
NUCYNTA;ADVERSE REACTIONS;Discomfort
NUCYNTA;ADVERSE REACTIONS;Disorientation
NUCYNTA;ADVERSE REACTIONS;Disturbance in attention
NUCYNTA;ADVERSE REACTIONS;Dizziness
NUCYNTA;ADVERSE REACTIONS;Drug abuse
NUCYNTA;ADVERSE REACTIONS;Drug dependence
NUCYNTA;ADVERSE REACTIONS;Drug dependence
NUCYNTA;ADVERSE REACTIONS;Drug withdrawal syndrome
NUCYNTA;ADVERSE REACTIONS;Dry mouth
NUCYNTA;ADVERSE REACTIONS;Dysarthria
NUCYNTA;ADVERSE REACTIONS;Dyspepsia
NUCYNTA;ADVERSE REACTIONS;Dyspnoea
NUCYNTA;ADVERSE REACTIONS;Euphoric mood
NUCYNTA;ADVERSE REACTIONS;Fatigue
NUCYNTA;ADVERSE REACTIONS;Feeling drunk
NUCYNTA;ADVERSE REACTIONS;Feeling hot
NUCYNTA;ADVERSE REACTIONS;Gamma-glutamyltransferase increased
NUCYNTA;ADVERSE REACTIONS;Gastrointestinal disorder
NUCYNTA;ADVERSE REACTIONS;Hallucination
NUCYNTA;ADVERSE REACTIONS;Headache
NUCYNTA;ADVERSE REACTIONS;Heart rate decreased
NUCYNTA;ADVERSE REACTIONS;Heart rate increased
NUCYNTA;ADVERSE REACTIONS;Hot flush
NUCYNTA;ADVERSE REACTIONS;Hyperhidrosis
NUCYNTA;ADVERSE REACTIONS;Hypersensitivity
NUCYNTA;ADVERSE REACTIONS;Hypoaesthesia
NUCYNTA;ADVERSE REACTIONS;Hypotension
NUCYNTA;ADVERSE REACTIONS;Impaired gastric emptying
NUCYNTA;ADVERSE REACTIONS;Insomnia
NUCYNTA;ADVERSE REACTIONS;Irritability
NUCYNTA;ADVERSE REACTIONS;Lethargy
NUCYNTA;ADVERSE REACTIONS;Memory impairment
NUCYNTA;ADVERSE REACTIONS;Muscle contractions involuntary
NUCYNTA;ADVERSE REACTIONS;Nasopharyngitis
NUCYNTA;ADVERSE REACTIONS;Nausea
NUCYNTA;ADVERSE REACTIONS;Nervousness
NUCYNTA;ADVERSE REACTIONS;Oedema
NUCYNTA;ADVERSE REACTIONS;Oxygen saturation decreased
NUCYNTA;ADVERSE REACTIONS;Palpitations
NUCYNTA;ADVERSE REACTIONS;Panic attack
NUCYNTA;ADVERSE REACTIONS;Paraesthesia
NUCYNTA;ADVERSE REACTIONS;Pollakiuria
NUCYNTA;ADVERSE REACTIONS;Presyncope
